index,graph_num,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0,0,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",3.0,2.0,Y,"{0: 9, 1: 3, 2: 7, 3: 5, 4: 11, 5: 13}","{(0, 4): 8, (0, 5): 1, (1, 4): 3, (2, 5): 7, (3, 5): 5}",340.2233123779297,5.0,6.0,10.0
1,5,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,2.0,Y,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 12, 5: 10}","{(0, 4): 2, (0, 5): 6, (1, 4): 5, (1, 5): 1, (2, 4): 4, (3, 5): 2, (4, 5): 1}",254.15420532226562,7.0,6.0,14.0
2,21,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 3, 2: 11, 3: 7, 4: 13, 5: 9}","{(0, 3): 3, (0, 5): 2, (1, 4): 1, (1, 5): 2, (2, 4): 11, (3, 5): 4, (4, 5): 1}",91.07589721679688,7.0,6.0,14.0
3,23,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,2.0,Y,"{0: 13, 1: 7, 2: 3, 3: 11, 4: 5, 5: 9}","{(0, 3): 11, (0, 5): 2, (1, 4): 2, (1, 5): 5, (2, 4): 2, (2, 5): 1, (4, 5): 1}",150.91896057128906,7.0,6.0,14.0
4,35,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0]]",3.0,2.0,Y,"{0: 13, 1: 3, 2: 7, 3: 11, 4: 5, 5: 9}","{(0, 3): 11, (0, 4): 1, (0, 5): 1, (1, 4): 3, (2, 5): 7, (4, 5): 1}",120.1629638671875,6.0,6.0,12.0
5,40,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 10, 1: 2, 2: 6, 3: 4, 4: 8, 5: 12}","{(0, 3): 2, (0, 4): 6, (0, 5): 2, (1, 4): 1, (1, 5): 1, (2, 5): 6, (3, 5): 2, (4, 5): 1}",154.97207641601562,8.0,6.0,16.0
6,41,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 9, 2: 3, 3: 7, 4: 11, 5: 13}","{(0, 3): 1, (0, 4): 2, (0, 5): 2, (1, 4): 8, (1, 5): 1, (2, 5): 3, (3, 5): 6, (4, 5): 1}",415.0867462158203,8.0,6.0,16.0
7,43,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,2.0,Y,"{0: 11, 1: 5, 2: 3, 3: 7, 4: 9, 5: 13}","{(0, 3): 3, (0, 4): 2, (0, 5): 6, (1, 4): 5, (2, 5): 3, (3, 4): 1, (3, 5): 3, (4, 5): 1}",164.98565673828125,8.0,6.0,16.0
8,46,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 12, 1: 4, 2: 2, 3: 6, 4: 10, 5: 8}","{(0, 3): 4, (0, 4): 7, (0, 5): 1, (1, 4): 1, (1, 5): 3, (2, 5): 2, (3, 4): 1, (3, 5): 1, (4, 5): 1}",212.9077911376953,9.0,6.0,18.0
9,53,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,2.0,Y,"{0: 13, 1: 5, 2: 3, 3: 9, 4: 7, 5: 11}","{(0, 3): 7, (0, 4): 2, (0, 5): 4, (1, 4): 1, (1, 5): 4, (2, 4): 3, (3, 5): 2, (4, 5): 1}",239.1338348388672,8.0,6.0,16.0
10,57,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,2.0,Y,"{0: 9, 1: 3, 2: 7, 3: 11, 4: 5, 5: 13}","{(0, 3): 6, (0, 4): 1, (0, 5): 2, (1, 4): 1, (1, 5): 2, (2, 4): 3, (2, 5): 4, (3, 5): 5}",180.95970153808594,8.0,6.0,16.0
11,60,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,2.0,Y,"{0: 4, 1: 2, 2: 10, 3: 6, 4: 12, 5: 8}","{(0, 3): 1, (0, 4): 2, (0, 5): 1, (1, 4): 1, (1, 5): 1, (2, 4): 8, (2, 5): 2, (3, 4): 1, (3, 5): 4}",184.05914306640625,9.0,6.0,18.0
